title_id,genre_id
tm47523,4
tm47523,8
tm47523,9
tm47523,15
tm24088,3
tm24088,11
tm137362,11
tm137362,4
tm177068,3
tm177068,4
tm82442,2
tm82442,3
tm82442,8
tm82442,9
tm82442,15
tm82442,1
tm90864,6
tm90864,3
tm101249,3
tm101249,17
tm101249,1
tm101249,4
ts687,15
ts687,17
ts687,6
ts24028,3
ts24028,7
tm142564,3
tm142564,6
ts23752,6
ts23752,3
ts21706,6
ts21706,15
ts21706,9
ts21706,8
ts21740,15
ts21740,9
ts21740,2
ts21740,3
ts21740,6
ts21740,17
ts21740,4
ts21740,11
ts21740,1
ts30356,1
ts30356,2
ts30356,3
ts30356,8
tm89684,3
tm89684,4
tm89684,8
tm89684,14
ts31514,2
ts31514,8
ts22005,1
ts22005,13
ts22005,2
ts22005,8
ts22005,3
ts22005,6
tm183963,6
tm183963,8
tm183963,16
tm183963,9
tm27268,9
tm27268,2
tm27268,3
tm27268,8
tm81270,3
tm81270,4
tm137342,6
tm137342,17
tm137342,18
tm137342,1
ts21688,3
ts21688,6
ts21688,14
ts22318,1
ts22318,3
ts22318,8
ts22318,9
ts22318,2
ts22318,17
ts22318,7
tm161263,11
tm161263,17
tm161263,15
tm161263,1
tm161263,7
ts12815,3
ts12815,8
tm26638,11
tm26638,17
tm26638,5
tm55303,6
tm31189,9
tm31189,17
tm31189,1
tm31189,6
tm31189,8
tm165593,3
tm165593,6
tm165593,14
ts15986,15
ts15986,17
ts15986,3
ts15986,6
ts15986,11
ts15986,7
ts26322,2
ts26322,14
ts26322,3
ts26322,6
tm78767,3
tm78767,14
ts98340,19
tm36644,17
tm36644,10
tm36644,6
tm77649,17
tm77649,6
tm77649,9
ts33559,2
ts33559,3
ts33559,8
ts33559,7
tm33113,17
tm33113,1
tm33113,7
tm78189,17
tm78189,7
tm43399,6
tm43399,14
tm43399,16
tm147211,3
tm147211,18
ts56549,3
ts56549,11
ts56549,13
ts56549,15
ts56549,17
tm29555,14
tm29555,3
tm29555,6
tm93225,9
tm93225,8
tm93225,1
tm93225,18
tm93225,6
tm93225,17
tm93225,2
ts20398,3
tm86189,3
tm86189,14
ts21421,2
ts21421,8
ts21421,3
ts21421,7
tm104880,3
tm101334,3
tm135451,6
ts20526,3
ts20526,6
ts20526,16
ts20526,14
tm186461,12
tm186461,5
ts30083,15
ts30083,1
ts30083,3
ts30083,6
ts30083,9
ts30083,2
tm141707,17
tm141707,1
tm141707,4
tm141707,6
tm141707,16
tm103095,6
tm103095,10
tm103095,16
tm103095,1
ts23835,3
ts23835,8
ts23835,1
ts23835,2
tm83786,6
tm83786,8
ts23808,3
ts23808,5
ts27459,1
ts27459,6
ts20544,3
ts20544,6
ts20544,2
ts20544,14
tm27168,4
tm27168,17
tm27168,6
tm27168,1
ts40702,6
ts30288,1
ts30288,6
ts30288,15
ts30288,18
ts30288,2
tm114476,3
tm114476,9
tm114476,2
tm114476,8
ts21967,3
ts21967,6
ts21967,8
ts21967,15
ts21967,2
ts21967,1
ts12701,1
ts12701,9
ts12701,17
ts12701,3
ts12701,8
ts12701,15
ts12701,14
ts12701,2
tm130574,3
tm130574,14
tm130574,6
ts21695,1
ts21695,3
ts21695,13
ts21695,14
ts21695,17
ts121176,11
ts121176,12
ts121176,2
ts121176,3
ts121176,8
ts121176,9
ts121176,15
ts1893,3
ts1893,8
ts1893,9
ts1893,2
ts1893,7
ts20535,2
ts20535,3
ts20535,8
ts20535,7
tm160800,1
tm160800,4
tm160800,6
tm160800,17
tm160800,7
ts38159,1
ts38159,6
ts38159,15
ts38159,9
ts38159,2
ts38159,8
ts38159,7
tm22493,3
